model_name,k,pca_dims,authors_count,noise_count,silhouette_avg,calinski_harabasz_avg,davies_bouldin_avg,norm_silhouette,norm_calinski,norm_davies,combined_score
agglomerative,6,2,29,0,0.6285388752731241,79.57503076745958,0.4483292101567624,0.774533,0.307635,0.89996,0.740386
hierarchical,6,2,29,0,0.6277801532110855,79.48725040914617,0.4491946234316323,0.773042,0.307283,0.899686,0.739131
hierarchical,15,10,29,0,0.62569771633767,59.94323736229454,0.32181345069027617,0.768952,0.228862,0.939944,0.732042
agglomerative,15,10,29,0,0.6259266971411731,58.78735438358455,0.31893438896761545,0.769402,0.224224,0.940854,0.732029
spectral,13,10,29,0,0.6295253858715593,42.79356063977634,0.304642771654407,0.77647,0.160048,0.945371,0.731718
gmm,14,10,29,0,0.6245405095522114,54.836541179846535,0.38002236035077447,0.766679,0.208371,0.921548,0.726335
kmeans,14,10,29,0,0.6238250570284785,53.67189076904852,0.37845074501551595,0.765274,0.203698,0.922044,0.724793
gmm,15,2,29,0,0.5715868615338988,252.12522388469498,0.3835713878658254,0.66267,1.0,0.920426,0.722178
spectral,14,10,29,0,0.609317304709968,44.25858003376547,0.34314597690065657,0.736778,0.165926,0.933202,0.699335
kmeans,15,10,29,0,0.6016220600504871,59.714455481489274,0.34066635487778796,0.721664,0.227944,0.933986,0.693524
spectral,9,5,29,0,0.6049382675689297,50.084422763706314,0.5463096701879298,0.728177,0.189303,0.868994,0.688371
spectral,6,5,29,0,0.610401189310005,20.965420280339494,0.5180191537029674,0.738907,0.072462,0.877935,0.686165
spectral,5,2,29,0,0.5954809185291757,60.83132484261875,0.4703002692043068,0.709601,0.232425,0.893016,0.680225
gmm,5,2,29,0,0.5866077092117751,63.99968897421941,0.5920992859558931,0.692173,0.245138,0.854522,0.663704
kmeans,5,2,29,0,0.5863434941858874,64.00725557336725,0.5918158684448215,0.691654,0.245169,0.854612,0.663301
hierarchical,3,2,29,0,0.5872753239920427,44.77275393961308,0.5926388632955062,0.693484,0.167989,0.854352,0.657022
agglomerative,3,2,29,0,0.5872845795192284,44.741392196938925,0.5927914238108908,0.693503,0.167864,0.854304,0.657019
gmm,3,2,29,0,0.5872768229819532,44.76113050128019,0.5926627451377088,0.693487,0.167943,0.854344,0.657019
spectral,3,2,29,0,0.5871794439167741,44.75324459025079,0.5927581079342331,0.693296,0.167911,0.854314,0.656859
kmeans,3,2,29,0,0.5870823301775328,44.75145082220681,0.5926246132246721,0.693105,0.167904,0.854356,0.65671
spectral,8,10,29,0,0.5915117647402186,9.776133422973034,0.7395194987864625,0.701805,0.027564,0.807931,0.644994
agglomerative,5,2,29,0,0.5742600062054484,64.67273366310428,0.5807119051399854,0.66792,0.247839,0.858121,0.644932
hierarchical,5,2,29,0,0.5738208947236307,64.6983157120514,0.5808481887190334,0.667058,0.247942,0.858078,0.644248
spectral,15,10,29,0,0.5684094863600799,50.59113262745161,0.3877223586950652,0.656429,0.191336,0.919114,0.636188
spectral,6,2,29,0,0.5656409460635584,46.016429066338006,0.5884987895621822,0.650991,0.17298,0.85566,0.623657
gmm,4,2,29,0,0.5596406158329338,46.671602890104275,0.5425548567566925,0.639205,0.175609,0.87018,0.615943
kmeans,4,2,29,0,0.5593564450122417,46.663486511474574,0.5427617785982262,0.638647,0.175576,0.870115,0.615487
agglomerative,4,2,29,0,0.5375039177451559,46.964623005715126,0.520541262777635,0.595725,0.176784,0.877138,0.581972
hierarchical,4,2,29,0,0.5370772118234263,46.979154582831576,0.5213128213859053,0.594887,0.176843,0.876894,0.581283
spectral,4,2,29,0,0.5179146080239684,43.144581207587365,0.6453867414569381,0.557249,0.161456,0.837681,0.545713
hdbscan,2,2,29,5,0.4590650226262084,23.613559213004113,0.7072757694495783,0.441659,0.083087,0.818122,0.443448
agglomerative,2,2,29,0,0.4612073052747467,24.52704838751713,0.843778383944574,0.445867,0.086753,0.774981,0.442867
spectral,2,2,29,0,0.461163906726903,24.529677769913427,0.8437565062321455,0.445781,0.086763,0.774988,0.4428
hierarchical,2,2,29,0,0.461143973726521,24.528851453423158,0.843788120127935,0.445742,0.08676,0.774978,0.442768
hdbscan,4,2,29,4,0.46672466693718384,19.8355625342393,1.457038789479864,0.456704,0.067928,0.581165,0.430272
hdbscan,3,2,29,5,0.479096065818836,18.710295713238178,2.0611264880337137,0.481003,0.063413,0.390248,0.430168
dbscan,6,10,29,0,0.4540686758416741,5.125364906142806,0.6602508552166185,0.431845,0.008903,0.832984,0.429665
dbscan,3,5,29,0,0.43963561975926646,6.277273174017104,0.512309636610339,0.403496,0.013525,0.879739,0.412123
dbscan,4,5,29,0,0.43272131501264754,7.747223132379001,0.7115261428371589,0.389916,0.019423,0.816778,0.395553
gmm,2,2,29,0,0.4150700366859488,14.562914489433412,0.7117547159720342,0.355246,0.046771,0.816706,0.370544
kmeans,2,2,29,0,0.4148881832667907,14.559847167590696,0.7118983414844152,0.354888,0.046759,0.816661,0.370253
dbscan,5,10,29,0,0.41169025513276786,4.605407927416137,0.6763604331961425,0.348607,0.006816,0.827892,0.362357
dbscan,2,5,29,0,0.3529358905744723,4.959732800111215,0.5499280459731759,0.233204,0.008238,0.86785,0.274172
dbscan,5,20,29,8,0.28679222577591923,2.9066553090996603,1.6699107000270121,0.103287,0.0,0.513889,0.134019
lovaina,4,2,29,0,0.23420612927342427,25.75669367134508,1.3949989801530362,0.0,0.091687,0.600772,0.069246
hdbscan,3,5,29,11,0.27551470158140995,3.5573080574718854,3.2959259211964627,0.081137,0.002611,0.0,0.06517
hdbscan,2,5,29,14,0.23929444227288488,4.430446277463966,3.025330501053741,0.009994,0.006114,0.085519,0.017159
