author,cluster,n_clusters,pca_dims,min_cluster_size,silhouette,calinski_harabasz,davies_bouldin
"Castanys, Santiago",-1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Matesanz del Barrio, Fuencisla",0,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Alcina, Antonio",0,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"González Pacanowska, Dolores",3,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Ruiz Pérez, Luis Miguel",3,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Navarro Carretero, Miguel",3,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Estévez García, Antonio Manuel",2,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Acosta Herrera, Marialbert",0,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Vidal Romero, Antonio",3,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"López Giménez, Juan F.",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Oliver Pozo, Francisco Javier",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Gómez Díaz, Elena",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Zubiaur, Mercedes",-1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Sánchez Luque, Francisco José",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Sancho López, Jaime",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Berzal Herranz, Alfredo",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Gómez Castilla, Jordi",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Ortiz Fernández, Lourdes",0,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Márquez Ortiz, Ana María",0,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
