author,cluster,eps,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"González Pacanowska, Dolores",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Ruiz Pérez, Luis Miguel",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Navarro Carretero, Miguel",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Estévez García, Antonio Manuel",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Acosta Herrera, Marialbert",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Vidal Romero, Antonio",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"López Giménez, Juan F.",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Oliver Pozo, Francisco Javier",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Gómez Díaz, Elena",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Zubiaur, Mercedes",4,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Sánchez Luque, Francisco José",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Sancho López, Jaime",4,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Berzal Herranz, Alfredo",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Gómez Castilla, Jordi",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Ortiz Fernández, Lourdes",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Márquez Ortiz, Ana María",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Sánchez Navarro, Macarena",-1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"López López, Manuel Carlos",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Thomas, María del Carmen",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"González Rey, Elena",1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Delgado Mora, Mario",1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Pérez Victoria, José María",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Morales Sánchez, Juan Carlos",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Martín Ibáñez, Javier",2,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Hernández López de Munaín, Cristina",3,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Suñé, Carlos",3,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Castanys, Santiago",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
