author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Gómez Castilla, Jordi",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Ortiz Fernández, Lourdes",1,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Márquez Ortiz, Ana María",1,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Sánchez Navarro, Macarena",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"López López, Manuel Carlos",0,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Thomas, María del Carmen",0,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"González Rey, Elena",2,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Delgado Mora, Mario",2,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Pérez Victoria, José María",0,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Morales Sánchez, Juan Carlos",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Martín Ibáñez, Javier",1,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Hernández López de Munaín, Cristina",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Suñé, Carlos",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Castanys, Santiago",0,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Matesanz del Barrio, Fuencisla",1,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Alcina, Antonio",1,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"González Pacanowska, Dolores",4,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Ruiz Pérez, Luis Miguel",4,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Navarro Carretero, Miguel",4,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Estévez García, Antonio Manuel",0,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Acosta Herrera, Marialbert",1,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Vidal Romero, Antonio",4,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"López Giménez, Juan F.",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Oliver Pozo, Francisco Javier",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Gómez Díaz, Elena",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Zubiaur, Mercedes",2,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Sánchez Luque, Francisco José",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Sancho López, Jaime",2,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Berzal Herranz, Alfredo",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Gómez Castilla, Jordi",3,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Ortiz Fernández, Lourdes",1,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Márquez Ortiz, Ana María",1,5,2,0.5863434941858874,64.00725557336725,0.5918158684448215
"Sánchez Navarro, Macarena",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"López López, Manuel Carlos",5,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Thomas, María del Carmen",5,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"González Rey, Elena",2,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Delgado Mora, Mario",2,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Pérez Victoria, José María",0,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Morales Sánchez, Juan Carlos",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Martín Ibáñez, Javier",1,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Hernández López de Munaín, Cristina",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Suñé, Carlos",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Castanys, Santiago",0,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Matesanz del Barrio, Fuencisla",1,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Alcina, Antonio",1,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"González Pacanowska, Dolores",4,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Ruiz Pérez, Luis Miguel",4,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Navarro Carretero, Miguel",4,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Estévez García, Antonio Manuel",0,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Acosta Herrera, Marialbert",1,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Vidal Romero, Antonio",4,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"López Giménez, Juan F.",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Oliver Pozo, Francisco Javier",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Gómez Díaz, Elena",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Zubiaur, Mercedes",2,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Sánchez Luque, Francisco José",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Sancho López, Jaime",2,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Berzal Herranz, Alfredo",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Gómez Castilla, Jordi",3,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Ortiz Fernández, Lourdes",1,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
"Márquez Ortiz, Ana María",1,6,2,0.6301476617994317,78.17308134810825,0.4542252760543642
