author,cluster,eps,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Alcina, Antonio",3,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"González Pacanowska, Dolores",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Ruiz Pérez, Luis Miguel",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Navarro Carretero, Miguel",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Estévez García, Antonio Manuel",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Acosta Herrera, Marialbert",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Vidal Romero, Antonio",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"López Giménez, Juan F.",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Oliver Pozo, Francisco Javier",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Gómez Díaz, Elena",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Zubiaur, Mercedes",4,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Sánchez Luque, Francisco José",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Sancho López, Jaime",4,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Berzal Herranz, Alfredo",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Gómez Castilla, Jordi",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Ortiz Fernández, Lourdes",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Márquez Ortiz, Ana María",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Sánchez Navarro, Macarena",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"López López, Manuel Carlos",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Thomas, María del Carmen",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"González Rey, Elena",1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Delgado Mora, Mario",1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Pérez Victoria, José María",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Morales Sánchez, Juan Carlos",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Martín Ibáñez, Javier",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Hernández López de Munaín, Cristina",3,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Suñé, Carlos",3,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Castanys, Santiago",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Matesanz del Barrio, Fuencisla",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Alcina, Antonio",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"González Pacanowska, Dolores",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Ruiz Pérez, Luis Miguel",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Navarro Carretero, Miguel",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Estévez García, Antonio Manuel",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Acosta Herrera, Marialbert",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Vidal Romero, Antonio",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"López Giménez, Juan F.",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Oliver Pozo, Francisco Javier",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Gómez Díaz, Elena",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Zubiaur, Mercedes",4,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Sánchez Luque, Francisco José",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Sancho López, Jaime",4,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Berzal Herranz, Alfredo",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Gómez Castilla, Jordi",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Ortiz Fernández, Lourdes",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Márquez Ortiz, Ana María",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
